passengerId,maxTrip
2068,32
4827,27
3173,26
2857,25
288,25
1240,24
5668,24
613,23
9441,23
3093,23
2717,23
3405,23
1673,23
1598,23
1337,23
5332,23
350,22
1769,22
3180,22
2437,22
4034,22
5423,22
391,22
8353,22
1343,22
798,22
4611,22
3078,22
435,21
1651,21
6060,21
4399,21
1464,21
398,21
4552,21
437,21
1581,21
5416,21
6777,21
7810,20
4774,20
4200,20
603,20
139,20
2867,20
1818,20
3309,20
7832,20
3937,20
2734,20
2251,20
2378,20
662,20
859,20
5012,20
888,20
3924,20
3883,20
4335,20
1246,20
2511,20
1143,19
2776,19
4092,19
1276,19
6030,19
2684,19
7877,19
4451,19
1822,19
1074,19
5096,19
92,19
4483,19
1739,19
3332,19
64,19
1321,19
4816,19
366,19
993,19
1158,19
2702,19
1272,19
6591,19
1315,19
6857,19
10795,19
3608,19
4329,19
5922,19
6001,19
4395,19
4473,19
3278,19
3153,19
3802,19
4316,19
1482,19
975,19
6805,19
905,19
2325,19
5198,19
2969,19
392,18
950,18
3436,18
860,18
5787,18
8007,18
274,18
8121,18
4016,18
2681,18
1250,18
1521,18
2910,18
1800,18
5043,18
5760,18
3875,18
813,18
7209,18
624,18
7508,18
6548,18
5711,18
459,18
3343,18
2482,18
5769,18
9620,18
4404,18
4379,18
9410,18
4082,18
611,18
2518,18
525,18
638,18
4056,18
3665,18
5491,18
8045,18
135,18
5977,18
4903,18
311,18
8167,18
3837,18
5380,18
4178,18
393,18
1413,18
833,17
1342,17
1265,17
2488,17
7661,17
5867,17
375,17
11450,17
4917,17
7118,17
210,17
4700,17
6100,17
2789,17
3071,17
1288,17
5959,17
363,17
3453,17
2685,17
1242,17
2537,17
1444,17
6050,17
2560,17
920,17
6027,17
1050,17
4441,17
1263,17
1828,17
61,17
6059,17
2861,17
3615,17
8552,17
7379,17
1451,17
6089,17
4020,17
3292,17
4080,17
1849,17
3356,17
8821,17
3117,17
5278,17
4632,17
1020,17
2143,17
9101,17
6064,17
264,17
2728,17
7837,17
4969,17
1333,17
1715,17
4496,17
364,17
3297,17
5101,17
763,17
1484,17
8704,17
2408,17
968,17
2544,17
3303,17
6987,17
8988,17
4675,17
2747,17
8684,17
3735,17
9683,17
10478,17
3409,17
8017,17
1678,17
199,17
2065,17
5081,17
2124,17
4854,17
3483,17
4955,17
2869,17
5073,17
4744,17
4430,17
5544,17
7770,17
407,17
1352,16
2231,16
3913,16
3631,16
4097,16
3149,16
7726,16
368,16
2212,16
8036,16
4876,16
3123,16
1955,16
4209,16
8290,16
3279,16
8260,16
1046,16
3171,16
2975,16
4070,16
7551,16
6067,16
4641,16
660,16
674,16
631,16
10461,16
972,16
1218,16
6900,16
1538,16
5467,16
2485,16
1029,16
3702,16
2458,16
4543,16
10767,16
5015,16
3930,16
10083,16
1733,16
8679,16
6084,16
2545,16
262,16
1966,16
3410,16
3773,16
5997,16
6882,16
2759,16
4983,16
7433,16
721,16
3468,16
1386,16
6874,16
456,16
6003,16
3889,16
2030,16
1254,16
8998,16
5596,16
446,16
10446,16
3169,16
664,16
4010,16
6052,16
2262,16
9252,16
3317,16
9997,16
356,16
11198,16
1078,16
1454,16
2529,16
6823,16
4069,16
226,16
4502,16
4972,16
3307,16
4170,16
5116,16
5438,16
8609,16
2550,16
4990,16
1544,16
7801,16
2773,16
1992,16
5944,16
690,16
5414,16
7243,16
276,16
5734,16
4580,16
5009,16
1762,16
7747,16
4607,16
7505,16
187,16
1591,15
4190,15
451,15
2656,15
4294,15
4307,15
5740,15
3657,15
2479,15
1468,15
5771,15
3152,15
5447,15
5592,15
8132,15
2758,15
9700,15
2610,15
8411,15
2939,15
1208,15
3519,15
8355,15
3963,15
9522,15
4336,15
360,15
1505,15
6339,15
1613,15
3919,15
7560,15
1311,15
3029,15
6382,15
10046,15
8158,15
6365,15
8562,15
760,15
2911,15
2196,15
3645,15
6878,15
5325,15
11011,15
479,15
4012,15
2653,15
5246,15
4852,15
7581,15
1917,15
2412,15
5716,15
6043,15
7868,15
6584,15
4247,15
3573,15
6166,15
269,15
8024,15
6471,15
5411,15
6523,15
4542,15
9098,15
1248,15
1108,15
3420,15
8117,15
4593,15
11296,15
5741,15
2720,15
8529,15
3065,15
3545,15
1539,15
290,15
441,15
1643,15
1677,15
5481,15
649,15
4009,15
6093,15
7799,15
7526,15
928,15
4497,15
3361,15
5798,15
5136,15
3101,15
10440,15
4814,15
8180,15
5356,15
889,15
3492,15
2596,15
3851,15
4554,15
6858,15
6380,15
3106,15
5978,15
1423,15
1740,15
7318,15
4945,15
7716,15
9063,15
2201,15
335,15
752,15
10329,15
3077,15
75,15
4339,15
2432,15
5464,15
953,15
4551,15
11834,15
4283,15
2693,15
3472,15
6733,15
4004,15
369,15
1472,15
3442,15
6475,15
2411,15
248,15
119,15
3286,15
6575,15
2162,15
9665,15
6208,15
5643,15
4671,15
5459,15
942,15
8981,15
1202,15
3491,15
2586,15
4904,15
10085,15
8048,15
2500,15
7679,15
4398,15
8289,15
2501,15
1424,15
4373,15
7565,15
9376,14
1025,14
2563,14
5984,14
6622,14
3220,14
4364,14
7120,14
2802,14
6864,14
1888,14
362,14
8350,14
683,14
1378,14
2683,14
1030,14
1034,14
1772,14
9366,14
7321,14
332,14
2754,14
1927,14
7192,14
4538,14
5764,14
253,14
3587,14
9601,14
223,14
926,14
4397,14
3905,14
4090,14
4177,14
1886,14
11483,14
3670,14
11513,14
5755,14
1055,14
1300,14
5361,14
618,14
694,14
7898,14
1247,14
4656,14
2941,14
8025,14
1008,14
3622,14
5819,14
9752,14
2575,14
5612,14
9991,14
6827,14
4202,14
867,14
1646,14
2292,14
7680,14
5120,14
2026,14
10569,14
1335,14
3120,14
3709,14
12323,14
3012,14
1499,14
8702,14
2197,14
3677,14
4927,14
10394,14
7682,14
9369,14
4237,14
2153,14
9659,14
117,14
11073,14
7319,14
1452,14
455,14
3112,14
5330,14
6289,14
2565,14
3527,14
4037,14
7727,14
8590,14
4353,14
8510,14
2336,14
2468,14
486,14
1696,14
8556,14
202,14
2279,14
2926,14
9069,14
4285,14
3779,14
1403,14
5800,14
11767,14
1057,14
1865,14
381,14
10212,14
8579,14
3681,14
3934,14
7039,14
9466,14
960,14
5503,14
7685,14
173,14
687,14
3157,14
3465,14
5418,14
2665,14
7713,14
637,14
2935,14
130,14
627,14
5799,14
443,14
1229,14
794,14
6080,14
8398,14
9057,14
1230,14
